"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2023","1,297.04","1,298.35","1,301.38","1,293.24","","-0.07%"
"03/27/2023","1,297.92","1,295.24","1,303.91","1,294.14","","0.25%"
"03/24/2023","1,294.66","1,286.67","1,307.96","1,283.16","","0.66%"
"03/23/2023","1,286.23","1,297.58","1,300.30","1,275.81","","-0.90%"
"03/22/2023","1,297.85","1,303.82","1,310.36","1,288.56","","-0.43%"
"03/21/2023","1,303.42","1,303.87","1,311.59","1,301.99","","-0.07%"
"03/20/2023","1,304.36","1,309.10","1,314.03","1,299.35","","-0.31%"
"03/17/2023","1,308.37","1,301.84","1,309.71","1,298.24","","0.58%"
"03/16/2023","1,300.85","1,313.38","1,317.07","1,301.30","","-0.93%"
"03/15/2023","1,313.04","1,304.94","1,323.29","1,295.90","","0.65%"
"03/14/2023","1,304.55","1,296.94","1,314.24","1,296.23","","0.61%"
"03/13/2023","1,296.58","1,319.10","1,320.64","1,296.14","","-1.79%"
"03/10/2023","1,320.24","1,325.82","1,329.78","1,309.77","","-0.40%"
"03/09/2023","1,325.51","1,316.77","1,327.76","1,314.76","","0.69%"
"03/08/2023","1,316.38","1,318.31","1,324.56","1,312.56","","-0.14%"
"03/07/2023","1,318.29","1,297.85","1,320.19","1,296.60","","1.65%"
"03/06/2023","1,296.86","1,294.10","1,301.71","1,293.28","","0.09%"
"03/03/2023","1,295.73","1,311.39","1,312.18","1,294.13","","-1.16%"
"03/02/2023","1,310.97","1,305.83","1,317.68","1,303.84","","0.43%"
"03/01/2023","1,305.41","1,323.44","1,324.52","1,298.59","","-1.33%"
"02/28/2023","1,323.02","1,318.40","1,327.21","1,314.42","","0.43%"
"02/27/2023","1,317.40","1,314.55","1,325.79","1,311.97","","0.22%"
"02/24/2023","1,314.45","1,298.03","1,318.57","1,296.29","","1.28%"
"02/23/2023","1,297.89","1,303.05","1,306.55","1,293.32","","-0.37%"
"02/22/2023","1,302.65","1,306.16","1,307.57","1,298.52","","-0.24%"
"02/21/2023","1,305.75","1,296.42","1,310.20","1,293.26","","0.75%"
"02/20/2023","1,296.04","1,297.55","1,299.74","1,292.94","","0.01%"
"02/17/2023","1,295.87","1,289.94","1,303.93","1,289.52","","0.49%"
"02/16/2023","1,289.51","1,283.97","1,295.56","1,278.79","","0.47%"
"02/15/2023","1,283.54","1,272.59","1,289.01","1,272.04","","0.87%"
"02/14/2023","1,272.53","1,273.31","1,275.33","1,261.58","","-0.03%"
"02/13/2023","1,272.89","1,266.25","1,280.43","1,266.25","","0.43%"
"02/10/2023","1,267.45","1,264.87","1,269.71","1,259.44","","0.24%"
"02/09/2023","1,264.44","1,260.87","1,266.51","1,254.76","","0.32%"
"02/08/2023","1,260.46","1,255.81","1,262.96","1,251.40","","0.38%"
"02/07/2023","1,255.68","1,261.47","1,264.61","1,252.26","","-0.36%"
"02/06/2023","1,260.25","1,247.35","1,263.96","1,243.92","","1.03%"
"02/03/2023","1,247.46","1,225.19","1,250.36","1,224.08","","1.85%"
"02/02/2023","1,224.78","1,222.26","1,226.37","1,215.83","","0.20%"
"02/01/2023","1,222.28","1,233.72","1,234.22","1,220.35","","-0.89%"
"01/31/2023","1,233.30","1,231.88","1,239.12","1,227.83","","0.15%"
"01/30/2023","1,231.46","1,230.20","1,232.61","1,226.31","","0.15%"
"01/27/2023","1,229.62","1,232.26","1,236.55","1,227.22","","-0.18%"
"01/26/2023","1,231.84","1,232.97","1,235.69","1,229.21","","-0.06%"
"01/25/2023","1,232.57","1,232.98","1,237.88","1,230.28","","0.00%"
"01/24/2023","1,232.57","1,230.38","1,237.99","1,228.90","","0.21%"
"01/23/2023","1,229.97","1,230.35","1,233.78","1,224.96","","0.09%"
